generation,individual_id,front_rank,crowding_distance,f1_length,f2_curvature,f3_obstacle,f4_localization,f5_deviation,f6_energy,f7_stability
0,0,1,0.567,12.3,0.45,2.1,0.012,0.15,145.6,0.89
0,1,1,0.823,13.1,0.38,2.5,0.010,0.12,138.2,0.91
0,2,2,0.412,11.8,0.52,1.9,0.015,0.18,152.3,0.85
0,3,2,0.634,12.7,0.41,2.3,0.011,0.14,141.5,0.90
0,4,3,0.289,11.5,0.58,1.7,0.017,0.20,158.7,0.82
1,0,1,0.621,12.5,0.42,2.2,0.011,0.14,143.2,0.90
1,1,1,0.789,13.3,0.36,2.6,0.009,0.11,136.8,0.92
1,2,2,0.445,11.9,0.50,2.0,0.014,0.17,149.5,0.86
1,3,2,0.598,12.8,0.39,2.4,0.010,0.13,139.7,0.91
1,4,3,0.312,11.6,0.56,1.8,0.016,0.19,155.3,0.83
